지역구,2023년도_총누적발생_건수,2023년도_총누적검거_건수,2023년도_검거율(%)
강남구,6763,4992,73.81
강동구,3398,2495,73.43
강북구,2497,2142,85.78
강서구,4296,3544,82.5
관악구,4769,3496,73.31
광진구,3424,2333,68.14
구로구,3737,2632,70.43
금천구,2240,1753,78.26
노원구,3567,2607,73.09
도봉구,1921,1406,73.19
동대문구,2957,2301,77.82
동작구,2642,1763,66.73
마포구,3834,2888,75.33
서대문구,2385,1641,68.81
서초구,4522,3049,67.43
성동구,2023,1411,69.75
성북구,2411,1958,81.21
소계,86213,64823,75.19
송파구,5223,3520,67.39
양천구,3019,2135,70.72
영등포구,4418,3387,76.66
용산구,3021,2268,75.07
은평구,3493,2678,76.67
종로구,2981,3485,116.91
중구,3348,2465,73.63
중랑구,3324,2474,74.43
