지역구,2020,2021,2022,2023,2024
강남구,9518,10690,13230,14399,16359
강동구,9559,10647,11407,12149,14763
강북구,11520,16884,17740,13468,14192
강서구,14170,15293,16453,17355,26350
관악구,14082,13406,13898,14698,15566
광진구,7689,8177,11434,9026,6526
구로구,10016,10604,11366,12105,13913
금천구,6690,6916,7321,7728,12184
노원구,15783,16983,17628,25905,19632
도봉구,9571,10154,10810,11522,12668
동대문,10387,10922,11322,11817,12188
동작구,10324,10410,10699,11179,11588
마포구,9053,9351,9969,10069,10279
서대문구,8719,9514,9533,9952,10284
서초구,6669,7118,7409,7555,7892
성동구,9496,7587,7622,8076,8287
성북구,12058,12674,12965,13664,19088
송파구,11733,12617,16788,17064,14789
양천구,9779,10413,11405,12081,12758
영등포구,8997,9739,9919,10481,10875
용산구,6911,7297,6501,6783,8341
은평구,13448,14284,15243,16024,16777
종로구,5895,5188,5402,6430,5373
중구,4291,4525,4493,4750,4862
중랑구,11818,12524,13327,14223,15058
