지역구별,동별,동별 비상벨 설치수
용산구,후암동,46
용산구,용산동2가,32
용산구,서계동,26
용산구,청파동2가,16
용산구,청파동3가,14
용산구,원효로1가,12
용산구,청파동1가,11
용산구,갈월동,10
용산구,원효로2가,8
용산구,동자동,7
용산구,신창동,7
용산구,남영동,4
용산구,두텁바위로,4
용산구,신흥로,3
용산구,청파로47나길,3
용산구,두텁바위로1나길,2
용산구,소월로2가길,2
용산구,신흥로20길,2
용산구,신흥로25가길,2
용산구,용산동1가,2
용산구,효창원로,2
용산구,후암로,2
용산구,두텁바위로13길,1
용산구,두텁바위로1길,1
용산구,두텁바위로38가길,1
용산구,두텁바위로69길,1
용산구,백범로,1
용산구,소월로20길,1
용산구,소월로26길,1
용산구,소월로30길,1
용산구,신흥로11나길,1
용산구,신흥로16길,1
용산구,신흥로26길,1
용산구,신흥로29길,1
용산구,신흥로2길,1
용산구,신흥로32길,1
용산구,신흥로3길,1
용산구,신흥로7길,1
용산구,원효로80길,1
용산구,청파로,1
용산구,청파로39길,1
용산구,청파로43길,1
용산구,청파로43라길,1
용산구,청파로47가길,1
용산구,청파로49길,1
용산구,청파로71길,1
용산구,청파로71나길,1
용산구,청파로73길,1
용산구,한강대로102길,1
용산구,한강대로102다길,1
용산구,한강대로104라길,1
용산구,한강대로76길,1
용산구,한강대로80길,1
용산구,한강대로98가길,1
용산구,한강대로98다길,1
용산구,효창원로23길,1
용산구,효창원로23나길,1
용산구,효창원로86가길,1
용산구,효창원로86라길,1
용산구,후암로15길,1
용산구,후암로16가길,1
용산구,후암로25길,1
용산구,후암로28라길,1
용산구,후암로30길,1
용산구,후암로34가길,1
용산구,후암로34길,1
용산구,후암로40길,1
종로구,청운동,5
종로구,대학로,4
종로구,사직로9길,4
종로구,평창동,4
종로구,명륜3가,3
종로구,무악동,3
종로구,누상동,2
종로구,명륜10길,2
종로구,옥인동,2
종로구,종로,2
종로구,견지동,1
종로구,관수동,1
종로구,구기동,1
종로구,궁정동,1
종로구,권농동,1
종로구,동숭동,1
종로구,삼청동,1
종로구,송월동,1
종로구,수송동,1
종로구,숭인동,1
종로구,연지동,1
종로구,종로63가길,1
종로구,종로6가,1
종로구,지봉로13길,1
종로구,창신동,1
종로구,창의문로,1
중구,신당동,190
중구,장충동2가,24
중구,황학동,21
중구,중림동,16
중구,회현동1가,15
중구,만리동2가,13
중구,필동2가,11
중구,남창동,10
중구,만리동1가,9
중구,남대문로5가,8
중구,을지로6가,8
중구,정동,8
중구,퇴계로,8
중구,다동,7
중구,순화동,7
중구,예장동,7
중구,의주로2가,7
중구,회현동2가,7
중구,장충동1가,6
중구,주교동,6
중구,초동,6
중구,충무로5가,6
중구,필동3가,6
중구,광희동2가,5
중구,남산동2가,5
중구,서소문동,5
중구,을지로5가,5
중구,저동1가,5
중구,광희동1가,4
중구,남대문로3가,4
중구,무학동,4
중구,묵정동,4
중구,북창동,4
중구,예관동,4
중구,을지로3가,4
중구,흥인동,4
중구,남산동1가,3
중구,명동2가,3
중구,산림동,3
중구,수표동,3
중구,을지로1가,3
중구,을지로2가,3
중구,을지로4가,3
중구,충무로4가,3
중구,남대문로4가,2
중구,다산로28길,2
중구,다산로39길,2
중구,동호로11나길,2
중구,동호로11마길,2
중구,동호로15길,2
중구,명동1가,2
중구,명동길,2
중구,쌍림동,2
중구,인현동1가,2
중구,주자동,2
중구,청구로,2
중구,충무로1가,2
중구,충무로2가,2
중구,충무로3가,2
중구,충정로1가,2
중구,퇴계로36가길,2
중구,난계로,1
중구,남대문로2가,1
중구,다산로,1
중구,다산로19길,1
중구,다산로20길,1
중구,다산로22길,1
중구,다산로28가길,1
중구,다산로33가길,1
중구,다산로33다길,1
중구,다산로38길,1
중구,다산로42나길,1
중구,다산로8길,1
중구,동호로,1
중구,동호로11가길,1
중구,동호로11길,1
중구,동호로11라길,1
중구,동호로11바길,1
중구,동호로11자길,1
중구,동호로15가길,1
중구,동호로25길,1
중구,동호로27길,1
중구,동호로8다길,1
중구,마른내로,1
중구,마장로,1
중구,마장로3길,1
중구,방산동,1
중구,봉래동2가,1
중구,삼각동,1
중구,서소문로2길,1
중구,서소문로6길,1
중구,서애로,1
중구,서애로3길,1
중구,세종대로,1
중구,소공로3길,1
중구,소파로,1
중구,신당동-6,1
중구,오장동,1
중구,왕십리로39길,1
중구,을지로12길,1
중구,을지로16길,1
중구,을지로33길,1
중구,을지로44길,1
중구,의주로1가,1
중구,인현동2가,1
중구,장교동,1
중구,장충단로8길,1
중구,장충단로8나길,1
중구,저동2가,1
중구,정동길,1
중구,중림로,1
중구,중림로7길,1
중구,중림로8길,1
중구,창경궁로5나길,1
중구,청구로10길,1
중구,청구로3다길,1
중구,청구로4길,1
중구,칠패로,1
중구,태평로1가,1
중구,태평로2가,1
중구,퇴계로12길,1
중구,퇴계로18길,1
중구,퇴계로20길,1
중구,퇴계로37길,1
중구,퇴계로49길,1
중구,퇴계로50길,1
중구,퇴계로51길,1
중구,퇴계로52길,1
중구,퇴계로62길,1
중구,퇴계로67길,1
중구,퇴계로83길,1
중구,퇴계로86길,1
중구,퇴계로88다길,1
중구,퇴계로8길,1
중구,필동1가,1
중구,필동로,1
중구,필동로5길,1
중구,필동로8길,1
중구,회현동3가,1
