지역구별,동별,동별 지구대/파출소 수
강남구,개포동,1
강남구,논현동,2
강남구,대치동,1
강남구,삼성동,2
강남구,세곡동,1
강남구,수서동,1
강남구,신사동,1
강남구,압구정동,1
강남구,역삼동,2
강남구,일원동,1
강남구,청담동,1
강동구,강일동,1
강동구,고덕동,1
강동구,둔촌동,2
강동구,명일동,1
강동구,상일동,1
강동구,성내동,1
강동구,암사동,1
강북구,미아동,3
강북구,번동,2
강북구,수유동,4
강서구,내발산동,1
강서구,등촌동,2
강서구,마곡동,1
강서구,방화동,2
강서구,염창동,1
강서구,화곡동,4
관악구,남현동,1
관악구,봉천동,2
관악구,신림동,5
광진구,광장동,1
광진구,구의동,1
광진구,자양동,3
광진구,중곡동,4
광진구,화양동,1
구로구,가리봉동,1
구로구,개봉동,1
구로구,고척동,1
구로구,구로동,3
구로구,오류동,1
구로구,천왕동,1
금천구,가산동,1
금천구,독산동,2
금천구,시흥동,2
노원구,공릉동,1
노원구,상계동,4
노원구,월계동,1
노원구,중계동,2
도봉구,도봉동,2
도봉구,방학동,2
도봉구,쌍문동,2
도봉구,창동,2
동대문구,답십리동,1
동대문구,용두동,1
동대문구,이문동,1
동대문구,장안동,2
동대문구,전농동,2
동대문구,제기동,1
동대문구,회기동,1
동대문구,휘경동,1
동작구,대방동,2
동작구,사당동,2
동작구,상도동,1
동작구,신대방동,1
동작구,흑석동,1
마포구,망원동,1
마포구,상암동,1
마포구,서교동,1
마포구,성산동,1
마포구,아현동,1
마포구,연남동,1
마포구,용강동,1
서대문구,남가좌동,1
서대문구,대현동,1
서대문구,북가좌동,1
서대문구,연희동,1
서대문구,옥천동,1
서대문구,홍은동,2
서대문구,홍제동,1
서초구,내곡동,1
서초구,반포동,2
서초구,방배동,3
서초구,서초동,3
서초구,양재동,1
서초구,우면동,1
성동구,금호동2가,1
성동구,성수동2가,2
성동구,옥수동,1
성동구,용답동,1
성동구,응봉동,1
성동구,행당동,2
성동구,홍익동,1
성북구,길음동,1
성북구,돈암동,1
성북구,보문동3가,1
성북구,석관동,1
성북구,성북동,1
성북구,장위동,1
성북구,정릉동,2
성북구,종암동,1
성북구,하월곡동,1
송파구,가락동,1
송파구,마천동,1
송파구,문정동,1
송파구,방이동,1
송파구,삼전동,1
송파구,신천동,1
송파구,오금동,1
송파구,잠실동,1
송파구,장지동,2
송파구,풍납동,1
양천구,목동,2
양천구,신월동,3
양천구,신정동,3
영등포구,당산동5가,1
영등포구,대림동,2
영등포구,문래동3가,1
영등포구,신길동,2
영등포구,양평동1가,1
영등포구,여의도동,1
영등포구,영등포동,1
영등포구,영등포동3가,1
용산구,용산동5가,1
용산구,원효로1가,1
용산구,이태원동,1
용산구,한강로1가,1
은평구,갈현동,1
은평구,대조동,1
은평구,불광동,1
은평구,신사동,1
은평구,역촌동,1
은평구,응암동,2
은평구,진관동,1
종로구,견지동,1
종로구,관철동,1
종로구,궁정동,1
종로구,동숭동,1
종로구,명륜1가,1
종로구,숭인동,1
종로구,신문로1가,1
종로구,옥인동,1
종로구,종로2가,1
종로구,종로5가,1
종로구,종로6가,1
종로구,창신동,2
종로구,통의동,1
종로구,팔판동,1
종로구,평창동,1
종로구,필운동,1
종로구,행촌동,1
종로구,혜화동,1
종로구,홍지동,1
중구,남창동,1
중구,다동,1
중구,명동2가,1
중구,봉래동2가,1
중구,서소문동,1
중구,신당동,2
중구,을지로3가,1
중구,장충동2가,1
중구,중림동,1
중구,충무로5가,1
중구,태평로1가,1
중구,필동1가,1
중구,회현동1가,1
중랑구,망우동,1
중랑구,면목동,4
중랑구,묵동,1
중랑구,신내동,1
중랑구,중화동,1
